date,contract,total_oi
2026-08-03,CU2706,4022
2026-08-03,CU2707,1539
2026-08-04,CU2608,47765
2026-08-04,CU2609,209530
2026-08-04,CU2610,129107
2026-08-04,CU2611,43185
2026-08-04,CU2612,53577
2026-08-04,CU2701,26159
2026-08-04,CU2702,11067
2026-08-04,CU2703,17189
2026-08-04,CU2704,8625
2026-08-04,CU2705,4115
2026-08-04,CU2706,4008
2026-08-04,CU2707,1542
2026-08-05,CU2608,44450
2026-08-05,CU2609,216692
2026-08-05,CU2610,133467
2026-08-05,CU2611,44605
2026-08-05,CU2612,54671
2026-08-05,CU2701,26315
2026-08-05,CU2702,11831
2026-08-05,CU2703,17181
2026-08-05,CU2704,8848
2026-08-05,CU2705,4245
2026-08-05,CU2706,4145
2026-08-05,CU2707,1697
2026-08-06,CU2608,42045
2026-08-06,CU2609,214266
2026-08-06,CU2610,141030
2026-08-06,CU2611,45232
2026-08-06,CU2612,55514
2026-08-06,CU2701,26751
2026-08-06,CU2702,11900
2026-08-06,CU2703,17215
2026-08-06,CU2704,8794
2026-08-06,CU2705,4267
2026-08-06,CU2706,4147
2026-08-06,CU2707,1739
2026-08-07,CU2608,38925
2026-08-07,CU2609,220913
2026-08-07,CU2610,150156
2026-08-07,CU2611,44428
2026-08-07,CU2612,56341
2026-08-07,CU2701,27089
2026-08-07,CU2702,12188
2026-08-07,CU2703,17266
2026-08-07,CU2704,8914
2026-08-07,CU2705,4716
2026-08-07,CU2706,4383
2026-08-07,CU2707,1830
2026-08-10,CU2608,32370
2026-08-10,CU2609,214566
2026-08-10,CU2610,155106
2026-08-10,CU2611,44588
2026-08-10,CU2612,56904
2026-08-10,CU2701,28161
2026-08-10,CU2702,12175
2026-08-10,CU2703,17347
2026-08-10,CU2704,8970
2026-08-10,CU2705,4700
2026-08-10,CU2706,4388
2026-08-10,CU2707,1891
2026-08-11,CU2608,25305
2026-08-11,CU2609,215009
2026-08-11,CU2610,163846
2026-08-11,CU2611,45255
2026-08-11,CU2612,57722
2026-08-11,CU2701,28765
2026-08-11,CU2702,12311
2026-08-11,CU2703,17408
2026-08-11,CU2704,8954
2026-08-11,CU2705,4709
2026-08-11,CU2706,4374
2026-08-11,CU2707,1890
2026-08-12,CU2608,22320
2026-08-12,CU2609,215065
2026-08-12,CU2610,170985
2026-08-12,CU2611,45889
2026-08-12,CU2612,59046
2026-08-12,CU2701,28906
2026-08-12,CU2702,12347
2026-08-12,CU2703,17370
2026-08-12,CU2704,8907
2026-08-12,CU2705,4724
2026-08-12,CU2706,4435
2026-08-12,CU2707,2042
2026-08-13,CU2608,12885
2026-08-13,CU2609,208892
2026-08-13,CU2610,169197
2026-08-13,CU2611,47302
2026-08-13,CU2612,59685
2026-08-13,CU2701,29285
2026-08-13,CU2702,12427
2026-08-13,CU2703,18030
2026-08-13,CU2704,9005
2026-08-13,CU2705,4861
2026-08-13,CU2706,4486
2026-08-13,CU2707,2192
2026-08-14,CU2608,7790
2026-08-14,CU2609,204710
2026-08-14,CU2610,168203
2026-08-14,CU2611,48289
2026-08-14,CU2612,60362
2026-08-14,CU2701,29286
2026-08-14,CU2702,12990
2026-08-14,CU2703,17960
2026-08-14,CU2704,8996
2026-08-14,CU2705,4886
2026-08-14,CU2706,4531
2026-08-14,CU2707,2325
2026-08-17,CU2608,7320
2026-08-17,CU2609,210886
2026-08-17,CU2610,183450
2026-08-17,CU2611,52004
2026-08-17,CU2612,62106
2026-08-17,CU2701,29927
2026-08-17,CU2702,13789
2026-08-17,CU2703,17969
2026-08-17,CU2704,8984
2026-08-17,CU2705,4840
2026-08-17,CU2706,4533
2026-08-17,CU2707,2373
2026-08-18,CU2609,192401
2026-08-18,CU2610,173623
2026-08-18,CU2611,54924
2026-08-18,CU2612,64307
2026-08-18,CU2701,30584
2026-08-18,CU2702,13853
2026-08-18,CU2703,18044
2026-08-18,CU2704,8875
2026-08-18,CU2705,4883
2026-08-18,CU2706,4623
2026-08-18,CU2707,2397
2026-08-18,CU2708,292
2026-08-19,CU2609,175241
2026-08-19,CU2610,169495
2026-08-19,CU2611,57334
2026-08-19,CU2612,65209
2026-08-19,CU2701,30281
2026-08-19,CU2702,13926
2026-08-19,CU2703,18386
2026-08-19,CU2704,9036
2026-08-19,CU2705,4924
2026-08-19,CU2706,4630
2026-08-19,CU2707,2423
2026-08-19,CU2708,677
2026-08-20,CU2609,162899
2026-08-20,CU2610,169713
2026-08-20,CU2611,58460
2026-08-20,CU2612,66166
2026-08-20,CU2701,30547
2026-08-20,CU2702,14433
2026-08-20,CU2703,19232
2026-08-20,CU2704,9494
2026-08-20,CU2705,5438
2026-08-20,CU2706,4801
2026-08-20,CU2707,2488
2026-08-20,CU2708,869
2026-08-21,CU2609,150334
2026-08-21,CU2610,176878
2026-08-21,CU2611,59514
2026-08-21,CU2612,66652
2026-08-21,CU2701,30873
2026-08-21,CU2702,14421
2026-08-21,CU2703,19400
2026-08-21,CU2704,9516
2026-08-21,CU2705,5487
2026-08-21,CU2706,4769
2026-08-21,CU2707,2750
2026-08-21,CU2708,1050
2026-08-24,CU2609,138087
2026-08-24,CU2610,191791
2026-08-24,CU2611,64577
2026-08-24,CU2612,67223
2026-08-24,CU2701,31819
2026-08-24,CU2702,14442
2026-08-24,CU2703,20318
2026-08-24,CU2704,10840
2026-08-24,CU2705,6991
2026-08-24,CU2706,5824
2026-08-24,CU2707,2741
2026-08-24,CU2708,1050
2026-08-25,CU2609,118959
2026-08-25,CU2610,204454
2026-08-25,CU2611,70522
2026-08-25,CU2612,69588
2026-08-25,CU2701,32277
2026-08-25,CU2702,14630
2026-08-25,CU2703,20973
2026-08-25,CU2704,10614
2026-08-25,CU2705,6989
2026-08-25,CU2706,5867
2026-08-25,CU2707,2891
2026-08-25,CU2708,1096
2026-08-26,CU2609,106288
2026-08-26,CU2610,221610
2026-08-26,CU2611,82233
2026-08-26,CU2612,72867
2026-08-26,CU2701,33204
2026-08-26,CU2702,14802
2026-08-26,CU2703,21000
2026-08-26,CU2704,10565
2026-08-26,CU2705,6730
2026-08-26,CU2706,5881
2026-08-26,CU2707,2994
2026-08-26,CU2708,1276
2026-08-27,CU2609,96891
2026-08-27,CU2610,213168
2026-08-27,CU2611,87245
2026-08-27,CU2612,74315
2026-08-27,CU2701,34241
2026-08-27,CU2702,15572
2026-08-27,CU2703,21427
2026-08-27,CU2704,10746
2026-08-27,CU2705,7118
2026-08-27,CU2706,6040
2026-08-27,CU2707,3174
2026-08-27,CU2708,1750
2026-08-28,CU2609,88937
2026-08-28,CU2610,216394
2026-08-28,CU2611,94307
2026-08-28,CU2612,76643
2026-08-28,CU2701,35634
2026-08-28,CU2702,16010
2026-08-28,CU2703,22237
2026-08-28,CU2704,10824
2026-08-28,CU2705,7249
2026-08-28,CU2706,6076
2026-08-28,CU2707,3239
2026-08-28,CU2708,2122
2026-08-31,CU2609,71665
2026-08-31,CU2610,220884
2026-08-31,CU2611,102224
2026-08-31,CU2612,77474
2026-08-31,CU2701,37552
2026-08-31,CU2702,16738
2026-08-31,CU2703,22458
2026-08-31,CU2704,11251
2026-08-31,CU2705,7564
2026-08-31,CU2706,6154
2026-08-31,CU2707,3332
2026-08-31,CU2708,2195
2026-09-01,CU2609,66740
2026-09-01,CU2610,224406
2026-09-01,CU2611,107687
2026-09-01,CU2612,77519
2026-09-01,CU2701,37697
2026-09-01,CU2702,17059
2026-09-01,CU2703,22480
2026-09-01,CU2704,11281
2026-09-01,CU2705,7559
2026-09-01,CU2706,6156
2026-09-01,CU2707,3356
2026-09-01,CU2708,2207
2026-09-02,CU2609,55625
2026-09-02,CU2610,207209
2026-09-02,CU2611,108542
2026-09-02,CU2612,78670
2026-09-02,CU2701,39545
2026-09-02,CU2702,17524
2026-09-02,CU2703,24328
2026-09-02,CU2704,11294
2026-09-02,CU2705,7770
2026-09-02,CU2706,6240
2026-09-02,CU2707,3490
2026-09-02,CU2708,2318
2026-09-03,CU2609,54085
2026-09-03,CU2610,206566
2026-09-03,CU2611,108431
2026-09-03,CU2612,77573
2026-09-03,CU2701,39342
2026-09-03,CU2702,17871
2026-09-03,CU2703,24996
2026-09-03,CU2704,11275
2026-09-03,CU2705,7778
2026-09-03,CU2706,6331
2026-09-03,CU2707,3491
2026-09-03,CU2708,2348
